sentinal	footer	temp	gx	gy	gz	ax	ay	az	sentinal
-16107	143	800	293	4384	2592	15424	-15587	-3477	3	829	5488	-4032	14048
-16103	-10	-181	118	4512	2448	16080	-15565	-4046	-189	780	3664	-3504	14336
-16116	1	-162	341	4768	2016	16336	-15573	-3946	109	696	1536	-3616	13632
-16097	183	215	154	4656	2160	15936	-15574	-932	262	130	784	-3168	11600
-16115	138	491	-101	4096	2592	15728	-15556	3642	525	-1038	3600	-4992	13680
-16102	124	373	57	4608	2512	16176	-15558	4358	450	-1005	5744	-3872	16528
-16113	135	136	-64	4448	2496	15968	-15554	2579	353	-516	6672	-3632	14032
-16106	189	233	24	5280	2528	15696	-15562	1914	582	-368	7488	-3392	15552
-16112	124	268	265	4848	2448	15824	-15538	251	51	-66	7056	-2928	14544
-16112	35	49	139	4704	2336	16208	-15552	-1609	-85	250	7312	-3840	17296
-16104	-12	213	271	4816	2208	15504	-15539	-4322	-695	889	4784	-3920	14336
-16112	82	83	260	4784	2176	16224	-15545	-3427	-112	825	2224	-3008	13088
-16122	80	-22	38	4624	2304	15856	-15541	-448	453	-8	1968	-1968	12320
-16118	177	492	-43	4752	2528	15568	-15528	3750	397	-1596	5376	-3920	16464
-16116	49	284	122	4832	2480	16160	-15552	3190	-611	-660	6976	-6304	15344
-16107	194	87	38	4752	2352	16032	-15535	2554	-6742	2220	7312	-6144	14816
-16108	363	-200	301	4560	1840	15632	-15510	1310	-7933	2955	6800	-9840	11312
-16103	167	-412	201	4480	1728	16288	-15517	544	-5747	2346	5968	-11760	8080
-16122	147	302	221	4896	1856	15696	-15522	1197	-3870	1770	6112	-13552	7888
-16116	114	74	15	4912	1952	16128	-15519	908	-2748	1465	5824	-13936	6256
-16122	275	140	126	5152	2128	15552	-15509	846	-2385	1086	5440	-14320	5376
-16111	85	142	117	4880	1936	15888	-15508	544	-1465	619	5008	-13936	5104
-16123	134	42	143	4880	1872	16032	-15512	-230	1548	-662	5232	-13552	5072
-16109	68	623	188	5008	2048	15776	-15510	-2216	6637	-2980	6368	-13024	6768
-16116	51	231	114	4016	2640	16528	-15494	-2680	7466	-3685	6480	-10976	10096
-16108	-263	956	-409	5008	2112	16160	-15508	-2165	8575	-3108	6992	-9520	13008
-16118	2	278	-70	4080	2832	15408	-15491	-404	7177	-1507	6128	-4768	13104
-16119	7	473	108	4160	2496	15632	-15481	-727	6245	-1127	5840	-1344	15312
-16108	-6	138	31	4912	2064	16128	-15484	-1150	5933	-834	5424	0	15616
-16115	57	285	100	4560	2672	15760	-15478	-1558	5376	-791	4464	2816	15088
-16110	104	286	86	4848	2320	15968	-15459	-1528	3545	-594	3232	4000	13408
-16110	75	173	69	4608	2368	15952	-15458	-686	1980	-316	2976	4784	13712
-16118	75	280	67	4800	2448	15792	-15466	69	1020	62	2768	6960	14656
-16119	94	215	157	4832	2496	15888	-15431	203	553	17	3568	4736	15392
-16121	61	229	124	4752	2448	15808	-15457	-86	166	204	3808	4000	14528
-16129	218	164	-78	4960	2352	15968	-15444	1228	-9031	3706	3920	3136	14720
-16131	458	204	313	4176	2528	15552	-15440	2992	-14616	4857	6160	-5232	15376
-16125	46	-100	364	5072	3008	16272	-15431	1700	-8874	2555	6464	-10896	11824
